id,name,createdAt,dataUpdatedAt,indexUpdatedAt,metadataUpdatedAt,rowsUpdatedAt,updatedAt,mostRecentFound
4xc2-5sba,HCHD COVID Website Data - Zip Codes,2021-01-12T21:00:54+0000,2023-11-14T03:34:06+0000,,2023-11-14T03:02:31+0000,,2023-11-14T03:02:31+0000,2023-11-13T00:00:00
jun6-cstd,HCHD COVID Website Data,2021-01-11T18:24:58+0000,2023-11-14T03:20:04+0000,,2023-11-14T03:02:23+0000,,2023-11-14T03:02:23+0000,2023-11-13T00:00:00
syga-i7wg,TN Health Department COVID Data - MMWR Week Case Count,2020-12-31T16:40:34+0000,2023-11-14T03:23:07+0000,,2023-11-14T03:18:23+0000,,2023-11-14T03:18:23+0000,2023-11-04T00:00:00
q45v-dttq,TN Health Department COVID Data - Cases 5 - 18 Years Old,2020-12-31T15:16:20+0000,2023-11-14T03:22:43+0000,,2023-11-14T03:19:02+0000,,2023-11-14T03:19:02+0000,2023-11-04T00:00:00
q6y2-66pb,TN Health Department COVID Data - Daily Case Information,2020-12-31T14:06:33+0000,2023-11-14T03:23:13+0000,,2023-11-14T03:17:53+0000,,2023-11-14T03:17:53+0000,2023-11-04T00:00:00
5fnn-ha4k,TN Health Department COVID Data - County New,2020-12-30T20:30:01+0000,2023-11-14T03:23:28+0000,,2023-11-14T03:17:13+0000,,2023-11-14T03:17:13+0000,2023-11-04T00:00:00
4k6b-3jbf,TN Health Department COVID Data - Age by County,2020-12-30T19:45:49+0000,2023-11-14T03:23:19+0000,,2023-11-14T03:17:50+0000,,2023-11-14T03:17:50+0000,2021-06-28T00:00:00
nuzd-6jme,TN Counties COVID-19 Vaccinations,2020-12-30T16:44:23+0000,2023-11-14T03:20:33+0000,,2023-11-14T03:19:42+0000,,2023-11-14T03:19:42+0000,2022-08-22T00:00:00
py3r-wj4t,COVID County Risk Level,2020-09-29T15:46:39+0000,2020-09-29T20:37:21+0000,,2022-10-19T14:25:46+0000,,2022-10-19T14:25:46+0000,2020-09-26T00:00:00
p2hx-we5c,Fire Risk Score - 2019 Fires,2020-09-22T19:44:18+0000,2020-10-09T14:51:00+0000,,2022-10-19T15:19:57+0000,,2022-10-19T15:19:57+0000,2021-09-21T00:00:00
99v2-xr5x,Hamilton County Railroad Crossings,2020-09-01T15:27:41+0000,2020-09-01T17:48:02+0000,,2022-10-19T14:52:24+0000,,2022-10-19T14:52:24+0000,2020-08-12T00:00:00
vcwc-f3gy,Census Response Rate by Tract,2020-06-23T12:13:39+0000,2021-02-04T12:01:00+0000,,2021-02-04T11:53:11+0000,,2021-02-04T11:53:11+0000,2020-10-28T00:00:00
ydpe-tdbn,Census Response Rates by City,2020-06-22T13:55:31+0000,2021-02-04T12:00:18+0000,,2021-02-04T11:53:31+0000,,2021-02-04T11:53:31+0000,2020-10-28T00:00:00
fedh-4gj4,Hamilton County Cases by Zip Code,2020-05-21T16:17:39+0000,2023-08-14T02:28:10+0000,,2023-11-14T03:20:39+0000,,2023-11-14T03:20:39+0000,2023-01-27T00:00:00
6v8k-2rhk,SafeGraph POI Visitor Count,2020-05-08T13:26:43+0000,2020-07-30T19:45:25+0000,,2022-10-17T14:41:16+0000,,2022-10-17T14:41:16+0000,2020-07-19T00:00:00
hr34-nqkq,Outdoor Chattanooga Users,2020-02-19T20:20:05+0000,2022-08-25T14:59:09+0000,,2022-10-17T15:31:37+0000,,2022-10-17T15:31:37+0000,2020-12-29T00:00:00
hr82-ynje,Activity Participation,2020-02-17T18:00:25+0000,2022-08-25T14:56:36+0000,,2022-10-17T15:18:35+0000,,2022-10-17T15:18:35+0000,2021-01-26T00:00:00
tdq7-y7yk,Open Checkbook Distributions,2020-01-30T18:17:54+0000,2021-12-06T20:08:00+0000,,2021-12-06T19:57:40+0000,,2021-12-06T19:57:40+0000,2021-09-10T00:00:00
e54z-qvid,Capital Project Explorer Staging Data,2020-01-24T15:03:24+0000,2020-01-28T13:35:01+0000,,2020-01-28T13:35:00+0000,,2020-01-28T13:35:00+0000,2022-03-01T00:00:00
8hcn-svpq,BLS Data,2019-12-19T18:09:07+0000,2023-11-13T23:21:13+0000,,2023-11-13T23:21:08+0000,,2023-11-13T23:21:08+0000,2023-09-14T00:00:00
an5k-bh4m,Bias Incidents,2019-10-22T17:49:33+0000,2021-03-18T12:40:33+0000,,2021-03-18T12:40:24+0000,,2021-03-18T12:40:24+0000,2018-11-28T07:00:00
muia-kb9e,Pedestrian Incidents,2019-10-08T13:10:04+0000,2019-10-08T13:11:26+0000,,2022-10-19T14:35:36+0000,,2022-10-19T14:35:36+0000,2019-10-05T00:00:00
wnex-iuna,Revised Hamilton County TN Filed Cases 2014-2019,2019-09-26T16:02:49+0000,2019-09-26T16:04:55+0000,,2019-09-26T16:06:52+0000,,2019-09-26T16:06:52+0000,2019-09-18T00:00:00
4kxc-jcw5,Road Closures,2019-06-13T19:52:33+0000,2020-04-24T12:23:41+0000,,2022-03-16T14:21:43+0000,,2022-03-16T14:21:43+0000,2020-12-31T00:00:00
cged-2r5q,Asset Inventory Views,2019-05-29T13:02:15+0000,2023-11-14T00:26:53+0000,,2023-11-14T00:26:45+0000,,2023-11-14T00:26:45+0000,2023-11-13T00:36:17
8k2v-wnqr,Income by Education Level 2011 - 2017,2019-05-10T19:50:41+0000,2019-05-10T19:52:25+0000,,2019-07-05T20:01:07+0000,,2019-07-05T20:01:07+0000,2017-11-14T00:00:00
dshm-tehy,Per Capita Chattanooga Income - Race,2019-05-10T18:47:05+0000,2019-05-10T18:49:06+0000,,2019-07-05T20:02:31+0000,,2019-07-05T20:02:31+0000,2017-11-14T00:00:00
83sk-wbar,Median Chattanooga Income - Sex,2019-05-10T18:04:08+0000,2019-05-10T18:10:46+0000,,2019-07-05T20:00:58+0000,,2019-07-05T20:00:58+0000,2017-11-14T00:00:00
3nc2-xvnc,Median Income by Tract - Year and Sex,2019-05-10T14:50:52+0000,2019-05-10T15:02:34+0000,,2022-10-19T14:44:01+0000,,2022-10-19T14:44:01+0000,2017-11-14T00:00:00
si7b-v7a4,Pass Visit Report,2019-03-18T19:04:29+0000,2023-07-20T21:22:34+0000,,2023-11-13T22:14:10+0000,,2023-11-13T22:14:10+0000,2023-12-22T12:57:00
b5bi-svwj,Hamilton County Cases by Zip Code,2020-05-28T18:16:00+0000,2023-08-14T02:28:58+0000,,2023-11-14T03:21:37+0000,,2023-11-14T03:21:37+0000,2023-01-27T00:00:00
m2c6-s837,Small Business Administration Loans,2019-03-05T20:50:46+0000,2019-03-05T20:53:39+0000,,2019-03-05T20:54:52+0000,,2019-03-05T20:54:52+0000,2018-12-19T00:00:00
kcrp-xmaw,Chattanooga 5K,2019-03-01T20:46:52+0000,2019-03-04T15:36:43+0000,,2019-03-04T15:36:38+0000,,2019-03-04T15:36:38+0000,2019-03-02T00:00:00
4cv2-tegk,Chattanooga Half Marathon,2019-02-28T20:29:17+0000,2019-03-04T15:10:04+0000,,2019-03-04T15:09:56+0000,,2019-03-04T15:09:56+0000,2019-03-03T00:00:00
tvec-ukpp,Chattanooga Marathon,2019-02-28T15:39:46+0000,2019-03-04T14:01:31+0000,,2019-03-04T14:01:24+0000,,2019-03-04T14:01:24+0000,2019-03-03T00:00:00
4sa6-ihk9,Vehicle Incidents - Historical,2019-02-19T21:00:10+0000,2019-02-19T21:00:10+0000,,2019-02-21T13:27:13+0000,,2019-02-21T13:27:13+0000,2017-12-31T20:01:00
mrwr-msn4,Combined Community Survey Numerical Results,2019-01-23T15:45:42+0000,2019-01-23T20:55:06+0000,,2019-01-23T20:55:07+0000,,2019-01-23T20:55:07+0000,2018-12-31T00:00:00
x5d3-4cfd,Combined Community Survey Raw Results,2019-01-23T15:30:12+0000,2019-01-23T15:43:16+0000,,2019-01-23T15:43:17+0000,,2019-01-23T15:43:17+0000,2018-12-31T00:00:00
c6he-bpas,City Comparison Data,2016-11-07T14:34:18+0000,2019-04-18T00:40:51+0000,,2019-04-18T00:40:41+0000,,2019-04-18T00:40:41+0000,2017-01-01T00:00:00
qsec-7gi8,Downtown Parking Information,2016-10-17T15:23:58+0000,2016-10-21T18:53:49+0000,,2019-06-06T20:28:24+0000,,2016-11-02T13:35:22+0000,2016-10-13T00:00:00
ere3-r58x,Community Survey Summary Results - 2012 to 2018,2016-03-04T02:45:09+0000,2019-01-18T20:27:48+0000,,2019-04-23T19:35:03+0000,,2019-04-23T19:35:03+0000,2018-12-31T00:00:00
idez-94k7,High Performing Government,2016-01-24T14:17:36+0000,2017-05-20T05:20:49+0000,,2019-04-01T01:30:40+0000,,2019-04-01T01:30:40+0000,2017-04-14T00:00:00
aqam-5cqf,Smarter Students Stronger Families,2016-01-24T14:14:46+0000,2019-04-01T01:30:26+0000,,2019-04-01T01:30:21+0000,,2019-04-01T01:30:21+0000,2018-11-14T00:00:00
hih9-dcpk,Stronger Neighborhoods,2016-01-24T14:10:35+0000,2019-04-01T01:30:33+0000,,2019-04-01T01:30:28+0000,,2019-04-01T01:30:28+0000,2019-02-14T00:00:00
9d8e-4qyi,Safer Streets,2016-01-24T14:01:13+0000,2019-04-01T01:30:20+0000,,2019-04-01T01:30:15+0000,,2019-04-01T01:30:15+0000,2020-06-14T00:00:00
s8pp-ah5n,Spending by the City of Chattanooga,2015-07-14T18:46:26+0000,2016-04-10T11:13:27+0000,,2016-04-20T13:53:47+0000,,2016-04-20T13:53:47+0000,2016-04-08T00:00:00
e968-fnk9,Service Requests,2015-07-10T14:00:22+0000,2018-11-30T22:51:32+0000,,2018-12-04T22:30:08+0000,,2018-12-04T22:30:08+0000,2018-07-12T00:00:00
rz29-uyu4,Address Data,2015-06-26T17:00:23+0000,2018-12-28T18:18:05+0000,,2018-12-28T18:16:52+0000,,2018-12-28T18:16:52+0000,2016-04-15T00:00:00
pr4n-wt8t,All Permit Contractors Information,2015-06-24T20:01:45+0000,2017-02-09T21:10:15+0000,,2017-02-09T21:11:33+0000,,2017-02-09T21:11:33+0000,2015-06-24T00:00:00
nkyi-3pzf,PILOT Agreements,2015-04-07T19:57:30+0000,2015-05-27T14:14:22+0000,,2019-04-22T21:40:54+0000,,2019-04-22T21:40:48+0000,2014-12-03T00:00:00
hy6d-xcyb,Hamilton County E911 Active Calls,2015-02-23T16:29:27+0000,2019-05-15T23:00:41+0000,,2019-05-15T23:00:43+0000,,2019-05-15T23:00:43+0000,2016-10-25T22:49:00
qpju-4723,Bike Chattanooga Subscribers,2014-05-28T19:53:11+0000,2016-04-14T01:47:56+0000,,2016-04-14T01:49:06+0000,,2016-04-14T01:49:06+0000,2016-04-10T17:29:00
wpxs-vmht,Ptax Property Data 5 Yr,2014-05-23T20:40:54+0000,2014-05-23T21:00:42+0000,,2015-06-03T13:28:55+0000,,2015-06-03T13:28:55+0000,8291-01-01T00:00:00
